Sector_Char,Sector,
A,Agribusiness,
B,Contruction,
C,Communications/Electronics,
D,Defense,
E,Energy/Natural_Resources,
F,Finance/Insurance/Real_Estate,
G,Business,
H,Health,
J11,Conservative_Ideology,
J12,Liberal_Ideology, 
J22,Republican_Leadership,
J21,Democratic_Leadership,
J51,Pro_Israel,
J52,Anti_Castro,
J61,Gun_Control,
J62,Gun_Rights,
J712,Pro_Life,
J715,Pro_Choice,
J72,Social_Security,
J73,LGBT_Rights,
J74,Womens_Rights,
J75,Minority/Ethnic_Groups,
J8,Anti_Union,
JD1,Pro_War,
JD2,Anti_War,
JE3,Environment,
JH1,Health/Welfare_Policy,
Z,Candidate_Committees,
L,Unions,
K12,Corporate_Lawyers,
K0,Legal_Services,
K2,Lobbyists,
M,Manufacturing,
T,Transportation,
X,Other,
Y,Unknown,
